47;53;
52;44;
70;40;
54;55;
45;49;
56;37;
53;64;
36;55;
56;59;
60;63;
47;56;
46;63;
40;53;
58;60;
63;52;
55;76;
49;51;
57;49;
45;59;
62;42;
47;49;
56;60;
47;52;
45;49;
47;50;
46;58;
59;37;
44;70;
45;44;
62;71;
56;53;
56;49;
50;61;
45;53;
69;85;
43;58;
48;58;
59;44;
51;69;
56;52;
53;85;
62;66;
52;53;
68;38;
42;47;
59;67;
52;63;
49;48;
45;74;
51;48;
52;58;
36;43;
73;57;
66;46;
57;52;
48;72;
46;49;
43;63;
54;51;
44;58;
39;43;
41;45;
46;86;
52;73;
53;50;
49;49;
48;50;
40;126;
71;46;
58;45;
60;56;
59;52;
64;57;
54;64;
47;50;
47;48;
47;55;
50;59;
46;58;
59;67;
60;53;
56;50;
46;50;
64;63;
53;42;
42;45;
51;43;
63;44;
62;85;
56;43;
75;46;
50;55;
52;60;
41;58;
95;48;
62;55;
58;67;
55;48;
54;66;
48;72;
54;54;
60;66;
48;62;
61;53;
51;49;
36;54;
48;72;
80;53;
58;76;
43;54;
66;57;
54;57;
52;60;
52;62;
55;76;
43;69;
58;56;
44;49;
51;42;
60;63;
47;66;
74;48;
73;57;
50;43;
53;47;
44;52;
53;71;
41;65;
44;50;
48;67;
44;51;
59;55;
45;61;
45;89;
56;51;
54;39;
58;55;
74;63;
53;52;
64;55;
43;80;
53;56;
49;73;
39;59;
53;74;
59;49;
43;55;
47;36;
53;42;
46;86;
46;70;
51;44;
55;65;
60;41;
55;63;
63;79;
55;52;
40;50;
51;46;
49;80;
50;34;
47;55;
57;64;
47;51;
50;57;
51;73;
52;62;
62;48;
46;57;
55;48;
51;50;
49;52;
61;61;
57;52;
56;55;
45;41;
61;46;
51;60;
48;43;
49;52;
84;43;
76;62;
58;62;
44;49;
80;42;
45;65;
52;47;
53;41;
53;82;
69;48;
61;84;
55;49;
68;47;
48;45;
52;50;
46;56;
46;55;
52;50;
43;69;
72;50;
44;63;
55;63;
43;54;
46;48;
55;98;
91;71;
33;95;
48;61;
54;65;
60;57;
47;54;
44;56;
48;53;
64;43;
56;57;
51;60;
71;57;
45;46;
65;63;
40;49;
