e90b352a-2183-4d17-bd27-ecbaa457986d;129;58;;;;;;;;
bfbe0ce0-7a9f-4a77-8a70-8dc9a97bf335;100;108;;;;;;;;
a36f9d3c-7ba9-44c1-abaf-f5144a6fd405;122;79;;;;;;;;
cbef12f9-d407-4d28-8ac5-bd4df9de2386;106;119;;;;;;;;
8bfb00d7-3d0c-4d8a-b365-08e71a210552;88;82;;;;;;;;
ec5bcf81-dd4f-40b3-963b-2633310dbf88;67;105;;;;;;;;
f657739b-3e1c-4fcb-b965-b03c15fcb2c5;104;81;;;;;;;;
6e0a0bdd-3b0d-4a79-9a9b-f3450e70088f;86;108;;;;;;;;
40d45174-c058-4cd4-82f3-22284c9f92ce;110;113;;;;;;;;
3b0a455f-8502-4d08-bc98-149ba85e9476;48;74;;;;;;;;
665cf807-e9d3-476c-aff9-eda5f19e6a8e;89;86;;;;;;;;
2bf0d2ad-95e3-46c3-a72b-64f6061f563c;89;128;;;;;;;;
3ac52cd9-a6c3-47cb-a29b-562581cc9bc4;83;82;;;;;;;;
0bd5419e-1b50-4703-92f5-31d910ea3892;84;132;;;;;;;;
9ca69f97-b418-468a-b6cf-4209f2090f7c;104;133;;;;;;;;
f1395b75-3a57-4675-994e-4396a28d97a0;82;93;;;;;;;;
8e277c58-09eb-4864-94dd-e7058d98b98f;81;117;;;;;;;;
d110219a-ba1a-4f30-8708-e6977875797c;99;107;;;;;;;;
844e512d-1bc8-4ea4-93a5-ec699685fc36;80;93;;;;;;;;
31b6c819-d33a-4377-a7cc-3057c78a5823;93;95;;;;;;;;
d520b46c-bf90-4038-955e-66e1487f9544;77;116;;;;;;;;
8d9292ac-47b2-4dde-9261-3f40a899d5ac;136;123;;;;;;;;
5afa0bdc-8cd6-4c49-a4b0-8a0a38fa889d;101;122;;;;;;;;
62afee20-a5ff-496c-98c1-f48e43965cee;82;80;;;;;;;;
e87e8056-c645-40aa-bd10-3dfcba3fdfe0;109;70;;;;;;;;
8922ef46-fd22-4058-9fcd-aa7213bb64ba;105;108;;;;;;;;
97da1f40-aead-416a-a9ef-98b15d00f3e8;79;115;;;;;;;;
c76e37e3-2fdd-4c55-97a1-537d299bbe8f;91;107;;;;;;;;
ce9df87b-d9b7-499c-95dc-5b6ca3703fc3;110;122;;;;;;;;
edd30d8b-ca01-4186-bd8e-3d621940f84c;97;83;;;;;;;;
bf18e51f-188f-4c70-98a7-4538afae8d21;110;88;;;;;;;;
a64b92be-b5ac-4528-9899-c9b1868d7d80;96;106;;;;;;;;
39e8512a-be79-4415-9742-17a2e1b47a37;93;112;;;;;;;;
88958535-00f0-46b5-9bc9-ff2989335507;95;76;;;;;;;;
6914a1a3-f5d6-4924-87ad-18e3449f4442;115;121;;;;;;;;
717b02d4-a574-4468-9f83-502a83b60cba;113;98;;;;;;;;
5c3a7215-b314-440b-a7c3-8c5e1096c084;103;64;;;;;;;;
324ef961-5af0-46f5-bf84-4dbd4d77e38e;90;94;;;;;;;;
6e885942-68fa-456f-8426-129f73251deb;125;152;;;;;;;;
df1b0c6f-cb3f-43d4-95b9-170fcbf2a3b8;102;124;;;;;;;;
a6791f5d-51f1-41c0-9fc6-48d91386d715;101;124;;;;;;;;
3a8d1212-74de-4806-a8ac-0b04a3f59209;95;103;;;;;;;;
3389bf46-42a0-4a29-a187-36dd8cb69fe0;115;94;;;;;;;;
