61;100;;;;;;;;;2;3;4;5;
85;101;;;;;;;;2;0;0;0;0;0
112;113;;;;;;;;3;0;0;0;0;0
124;118;;;;;;;;4;0;0;0;0;0
115;96;;;;;;;;5;0;0;0;0;0
109;132;;;;;;;;6;0;0;0;0;0
122;110;;;;;;;;7;0;0;0;0;0
104;100;;;;;;;;8;0;0;0;0;0
102;115;;;;;;;;9;0;0;0;0,2;1
106;120;;;;;;;;10;0;0;0;0;0
69;81;;;;;;;;11;0;0;0;0;0
95;84;;;;;;;;12;0;0;0;0;0
66;101;;;;;;;;13;0;0;0;0;0
100;112;;;;;;;;14;0;0;0;0;0
82;100;;;;;;;;15;0;0;0;0;0
107;113;;;;;;;;16;0;0;0;0;0
76;153;;;;;;;;17;0;0;0;0,2;1
99;123;;;;;;;;18;0;0;0;0;0
132;92;;;;;;;;19;0;0;0;0;0
106;137;;;;;;;;20;0;0;0;0,2;1
41;107;;;;;;;;21;0;0;0;0;0
123;102;;;;;;;;22;0;0;0;0;0
108;113;;;;;;;;23;0;0,333333333;0;0,2;2
92;139;;;;;;;;24;0;0;0;0,2;1
101;107;;;;;;;;25;0;0;0;0,2;1
103;105;;;;;;;;26;0;0;0;0,2;1
84;125;;;;;;;;27;0;0;0;0;0
70;86;;;;;;;;28;0;0;0;0;0
95;114;;;;;;;;29;0;0;0;0;0
83;137;;;;;;;;30;0;0;0;0,2;1
95;89;;;;;;;;31;0;0;0,5;0,2;3
105;112;;;;;;;;32;0;0;0;0;0
99;115;;;;;;;;33;0;0;0;0;0
94;102;;;;;;;;34;0;0;0;0;0
98;87;;;;;;;;35;0;0;0;0;0
118;111;;;;;;;;36;0;0;0,25;0,4;3
89;104;;;;;;;;37;0;0;0;0,4;2
77;97;;;;;;;;38;0;0;0;0,2;1
87;142;;;;;;;;39;0;0;0;0,2;1
123;116;;;;;;;;40;0;0;0;0,2;1
90;112;;;;;;;;41;0,5;0;0;0,2;2
85;119;;;;;;;;42;0;0;0,25;0,4;3
102;79;;;;;;;;43;0;0,333333333;0,25;0,6;5
87;86;;;;;;;;44;0;0,333333333;0;0,8;5
98;96;;;;;;;;45;0;0;0;0,4;2
129;86;;;;;;;;46;0;0;0;0,6;3
74;94;;;;;;;;47;0;0,333333333;0,5;0,4;5
87;114;;;;;;;;48;0;0,333333333;0;0,6;4
53;109;;;;;;;;49;0;0;0,5;0,6;5
83;113;;;;;;;;50;0;0;0,25;0,6;4
