1,4,5,95,0,2,26,45,-17,100,26,2,6,0,2,45,45,45.0,45.0,2,2,2.0,2.0,2,0,0,2,4,3
2,3,5,95,3,2,26,44,-16,100,4,0,6,0,2,43,44,43.5,43.5,2,2,2.0,2.0,2,0,0,1,4,1
3,5,5,91,3,2,26,44,-16,96,4,0,6,0,2,43,44,43.5,43.5,2,2,2.0,2.0,2,0,2,1,6,1
4,7,5,89,5,2,26,44,-16,94,30,2,6,0,2,41,44,42.5,42.5,2,2,2.0,2.0,2,0,2,3,6,3
5,5,5,87,7,2,26,42,-14,92,4,0,6,0,2,41,42,41.5,41.5,2,2,2.0,2.0,1,1,4,1,6,1
6,7,5,85,9,2,26,42,-14,90,21,0,6,0,2,39,42,40.5,40.5,2,2,2.0,2.0,1,1,4,2,7,1
7,9,5,81,9,2,26,42,-14,86,30,1,6,0,2,39,42,40.5,40.5,2,2,2.0,2.0,1,1,6,3,7,3
8,6,5,81,14,2,26,39,-10,86,20,0,5,0,2,37,39,38.0,38.0,2,2,2.0,2.0,1,1,6,2,6,1
9,8,5,77,14,2,26,39,-10,82,35,0,5,0,2,37,39,38.0,38.0,2,2,2.0,2.0,1,1,8,4,9,1
10,10,5,73,14,2,26,39,-10,78,37,0,5,0,2,37,39,38.0,38.0,2,2,2.0,2.0,1,1,8,5,9,1
11,12,5,69,14,2,26,39,-10,74,41,0,5,0,2,37,39,38.0,38.0,2,2,2.0,2.0,1,1,8,5,9,1
12,14,5,65,14,2,26,39,-10,70,42,0,5,0,2,37,39,38.0,38.0,2,2,2.0,2.0,1,1,8,5,9,1
13,16,5,61,14,2,26,39,-10,66,51,4,5,0,2,37,39,38.0,38.0,2,2,2.0,2.0,1,1,8,6,9,3
14,13,5,59,17,2,26,36,10,64,39,0,4,0,2,36,37,36.5,36.5,2,2,2.0,2.0,1,1,8,4,7,1
15,15,5,55,17,2,26,36,10,60,44,0,4,0,2,36,37,36.5,36.5,2,2,2.0,2.0,1,1,8,5,9,1
16,17,5,53,21,2,26,36,10,58,52,4,4,0,2,33,36,34.5,34.5,2,2,2.0,2.0,1,1,8,6,9,3
17,11,5,53,27,2,25,30,43,58,36,0,4,0,2,30,33,31.5,31.5,2,3,2.5,2.5,0,2,15,4,6,2
18,11,5,53,29,3,24,30,37,58,35,3,7,0,2,30,31,30.5,30.5,3,3,3.0,3.0,1,2,15,4,6,3
19,9,5,53,34,3,24,28,39,58,30,2,7,0,2,28,28,28.0,28.0,3,3,3.0,3.0,1,2,17,4,6,3
20,7,5,53,36,3,23,26,41,58,19,1,7,0,2,26,28,27.0,27.0,3,4,3.5,3.5,0,3,21,2,6,3
21,5,5,53,41,3,23,24,55,58,17,0,7,0,2,24,25,24.5,24.5,3,4,3.5,3.5,1,3,21,2,5,1
22,7,5,49,41,3,23,24,55,54,29,0,7,0,2,24,25,24.5,24.5,3,4,3.5,3.5,1,3,25,3,9,1
23,9,5,45,41,3,23,24,55,50,30,0,7,0,2,24,25,24.5,24.5,3,4,3.5,3.5,1,3,25,3,9,2
24,9,5,43,41,4,22,24,44,48,30,3,11,0,2,24,25,24.5,24.5,4,4,4.0,4.0,1,3,25,3,9,3
25,8,5,41,42,4,22,23,45,46,27,2,11,0,2,23,25,24.0,24.0,4,4,4.0,4.0,1,3,25,3,9,3
26,6,5,41,47,4,22,21,47,46,24,1,11,0,2,21,22,21.5,21.5,4,4,4.0,4.0,1,3,25,3,9,3
27,4,5,41,49,4,21,19,49,46,22,0,11,0,2,19,22,20.5,20.5,4,5,4.5,4.5,0,4,29,3,9,1
28,6,5,39,51,4,21,19,49,44,29,1,11,0,2,19,20,19.5,19.5,4,5,4.5,4.5,1,4,29,4,9,3
29,2,5,39,57,4,21,15,78,44,3,0,11,0,2,15,18,16.5,16.5,4,5,4.5,4.5,1,4,31,1,3,1
30,4,5,35,57,4,21,15,78,40,13,0,11,0,2,15,18,16.5,16.5,4,5,4.5,4.5,0,5,33,2,4,1
31,6,5,33,57,4,20,15,78,38,22,0,11,0,2,15,18,16.5,16.5,4,6,5.0,5.0,0,5,33,3,9,1
32,8,5,29,57,4,20,15,78,34,22,0,11,0,2,15,18,16.5,16.5,4,6,5.0,5.0,1,5,33,3,9,2
33,8,5,27,57,5,19,15,56,32,22,1,12,0,2,15,18,16.5,16.5,5,6,5.5,5.5,1,5,33,3,9,3
34,5,5,25,60,5,19,12,104,30,13,0,12,0,2,12,18,15.0,15.0,5,6,5.5,5.5,1,5,33,2,5,1
35,7,5,21,60,5,19,12,104,26,13,0,12,0,2,12,18,15.0,15.0,5,6,5.5,5.5,1,5,33,2,6,1
36,9,5,17,60,5,19,12,104,22,21,0,12,0,2,12,18,15.0,15.0,5,6,5.5,5.5,1,5,33,3,6,2
37,9,5,15,60,6,18,12,121,20,21,0,13,0,2,12,18,15.0,15.0,6,6,6.0,6.0,1,5,33,3,6,2
38,9,5,15,66,7,17,12,112,20,21,0,14,0,2,12,12,12.0,12.0,6,7,6.5,6.5,1,5,33,3,6,1
39,11,5,13,66,7,16,12,112,18,26,0,14,0,2,12,12,12.0,12.0,7,7,7.0,7.0,0,6,48,5,9,1
40,13,5,11,67,7,16,12,112,16,27,1,14,0,2,11,12,11.5,11.5,7,7,7.0,7.0,1,6,48,5,9,3
41,10,5,11,72,7,16,9,134,16,22,0,14,0,2,9,9,9.0,9.0,7,7,7.0,7.0,1,6,49,4,6,2
42,10,5,11,74,8,15,9,155,16,22,0,0,0,2,7,9,8.0,8.0,7,8,7.5,7.5,1,6,51,4,6,2
43,10,5,9,74,9,14,9,135,14,22,1,0,0,2,7,9,8.0,8.0,7,9,8.0,8.0,0,7,53,4,6,3
44,9,5,7,75,9,14,8,176,12,18,0,0,0,2,7,8,7.5,7.5,7,9,8.0,8.0,0,7,53,3,6,2
45,9,5,5,75,10,13,8,159,10,18,0,0,0,2,7,8,7.5,7.5,7,10,8.5,8.5,0,7,53,3,6,1
46,11,5,1,75,10,13,8,159,6,21,0,0,0,2,7,8,7.5,7.5,7,10,8.5,8.5,0,7,53,4,9,1
47,13,5,72,0,10,13,8,159,77,27,1,0,0,2,7,8,7.5,7.5,7,10,8.5,8.5,0,7,53,6,9,3
48,7,5,70,6,10,13,2,174,75,10,0,0,0,2,2,7,4.5,4.5,7,10,8.5,8.5,0,7,53,2,6,1
1,4,5,97,0,2,26,45,-16,102,26,3,6,0,2,45,45,45.0,45.0,2,2,2.0,2.0,0,0,0,2,4,3
2,2,5,97,4,2,26,43,-14,102,5,0,6,0,2,43,43,43.0,43.0,2,2,2.0,2.0,2,0,0,1,3,1
3,4,5,93,4,2,26,43,-14,98,5,0,6,0,2,43,43,43.0,43.0,2,2,2.0,2.0,2,0,2,1,5,1
4,6,5,91,6,2,26,43,-14,96,23,1,6,0,2,41,43,42.0,42.0,2,2,2.0,2.0,2,0,2,2,6,3
5,4,5,91,10,2,26,41,-12,96,5,0,6,0,2,39,41,40.0,40.0,2,2,2.0,2.0,2,0,4,1,5,1
6,6,5,87,10,2,26,41,-12,92,23,0,6,0,2,39,41,40.0,40.0,2,2,2.0,2.0,2,0,6,2,5,1
7,8,5,85,12,2,26,41,-12,90,32,2,0,0,2,37,41,39.0,39.0,2,2,2.0,2.0,2,0,6,3,9,3
8,6,5,83,14,2,26,39,-10,88,23,0,0,0,2,37,39,38.0,38.0,2,2,2.0,2.0,2,0,8,2,5,1
9,8,5,79,14,2,26,39,-10,84,23,0,0,0,2,37,39,38.0,38.0,2,2,2.0,2.0,2,0,8,2,5,1
10,10,5,75,14,2,26,39,-10,80,23,0,0,0,2,37,39,38.0,38.0,2,2,2.0,2.0,2,0,8,2,7,1
11,12,5,71,14,2,26,39,-10,76,31,0,0,0,2,37,39,38.0,38.0,2,2,2.0,2.0,2,0,8,3,7,1
12,14,5,67,14,2,26,39,-10,72,40,2,0,0,2,37,39,38.0,38.0,2,2,2.0,2.0,2,0,8,4,9,3
13,11,5,67,19,2,26,36,-6,72,29,0,0,0,2,35,36,35.5,35.5,2,2,2.0,2.0,2,0,8,3,7,1
14,13,5,63,19,2,26,36,-6,68,30,0,0,0,2,35,36,35.5,35.5,2,2,2.0,2.0,2,0,10,3,7,1
15,15,5,59,19,2,26,36,-6,64,31,0,0,0,2,35,36,35.5,35.5,2,2,2.0,2.0,2,0,10,3,8,1
16,17,5,57,23,2,26,36,-6,62,36,1,0,0,2,31,36,33.5,33.5,2,2,2.0,2.0,2,0,10,4,8,3
17,13,5,57,27,2,25,32,15,62,32,0,0,0,2,31,32,31.5,31.5,2,3,2.5,2.5,0,2,17,3,7,1
18,15,5,55,29,2,25,32,15,60,40,0,0,0,2,29,32,30.5,30.5,2,3,2.5,2.5,1,2,17,4,9,1
19,17,5,53,31,2,25,32,15,58,41,0,0,0,2,27,32,29.5,29.5,2,3,2.5,2.5,1,2,19,4,9,1
20,19,5,49,31,2,25,32,15,54,50,3,0,0,2,27,32,29.5,29.5,2,3,2.5,2.5,1,2,21,6,9,3
21,16,5,47,34,2,25,29,37,52,33,0,0,0,2,27,29,28.0,28.0,2,3,2.5,2.5,1,2,21,4,7,2
22,16,5,45,34,3,24,29,32,50,33,3,0,0,2,27,29,28.0,28.0,3,3,3.0,3.0,1,2,21,4,7,3
23,15,5,43,35,3,24,28,33,48,29,2,0,0,2,27,28,27.5,27.5,3,3,3.0,3.0,1,2,21,3,7,3
24,13,5,41,37,3,24,26,35,46,27,1,0,0,2,26,27,26.5,26.5,3,3,3.0,3.0,1,2,21,3,7,3
25,11,5,39,39,3,24,24,47,44,24,0,0,0,2,24,27,25.5,25.5,3,3,3.0,3.0,1,2,21,3,7,2
26,11,5,39,42,4,23,24,39,44,24,1,0,0,2,24,24,24.0,24.0,3,4,3.5,3.5,1,2,21,3,7,3
27,9,5,39,44,4,22,22,41,44,15,0,0,0,2,22,24,23.0,23.0,4,4,4.0,4.0,0,3,25,2,7,1
