40,0,0,0,0,4,0,5,70,0,0,0,0,0,5,7,15,10,2,5,4,4,0,5,50,4
1,4,5,97,1,2,26,45,-21,102,4,4,7,3,2,44,45,44.5,44.5,2,2,2.0,2.0,2,0,0,3
2,2,5,97,5,2,26,43,-19,102,0,0,7,7,2,42,43,42.5,42.5,2,2,2.0,2.0,2,0,1,1
3,4,5,93,5,2,26,43,-19,98,3,3,7,4,2,42,43,42.5,42.5,2,2,2.0,2.0,2,0,3,3
4,2,5,91,7,2,26,41,-17,96,0,0,7,7,2,41,42,41.5,41.5,2,2,2.0,2.0,2,0,3,1
5,4,5,89,9,2,26,41,-17,94,2,2,7,5,2,40,41,40.5,40.5,2,2,2.0,2.0,2,0,3,3
6,2,5,87,11,2,26,39,-15,92,1,1,7,6,2,39,40,39.5,39.5,2,2,2.0,2.0,1,1,5,3
7,0,5,85,13,2,26,37,-13,90,0,0,7,7,2,37,40,38.5,38.5,2,2,2.0,2.0,1,1,5,1
8,2,5,83,17,2,26,37,-13,88,1,1,7,6,2,36,37,36.5,36.5,2,2,2.0,2.0,1,1,5,3
9,1,5,81,18,2,26,36,4,86,0,0,7,7,2,36,36,36.0,36.0,2,2,2.0,2.0,1,1,12,1
10,3,5,77,18,2,26,36,4,82,0,0,7,7,2,36,36,36.0,36.0,2,2,2.0,2.0,1,1,12,1
11,5,5,73,18,2,26,36,4,78,1,1,7,6,2,36,36,36.0,36.0,2,2,2.0,2.0,1,1,12,3
12,2,5,71,21,2,26,33,8,76,0,0,7,7,2,33,36,34.5,34.5,2,2,2.0,2.0,1,1,12,1
13,4,5,69,26,2,26,33,8,74,0,0,7,7,2,31,33,32.0,32.0,2,2,2.0,2.0,1,1,12,1
14,6,5,65,26,2,26,33,8,70,0,0,7,7,2,31,33,32.0,32.0,2,2,2.0,2.0,1,1,22,1
15,8,5,61,26,2,26,33,8,66,0,0,7,7,2,31,33,32.0,32.0,2,2,2.0,2.0,1,1,22,1
16,10,5,57,26,2,26,33,8,62,0,0,7,7,2,31,33,32.0,32.0,2,2,2.0,2.0,1,1,22,1
17,12,5,53,26,2,26,33,8,58,0,0,7,7,2,31,33,32.0,32.0,2,2,2.0,2.0,1,1,22,1
18,14,5,49,26,2,26,33,8,54,0,0,7,7,2,31,33,32.0,32.0,2,2,2.0,2.0,1,1,22,1
19,16,5,47,31,2,26,33,8,52,2,2,7,6,2,26,33,29.5,29.5,2,2,2.0,2.0,1,1,22,3
20,12,5,45,35,2,26,29,41,50,0,0,7,7,2,26,29,27.5,27.5,2,2,2.0,2.0,1,1,32,2
21,12,5,43,35,3,25,29,32,48,2,2,9,7,2,26,29,27.5,27.5,2,3,2.5,2.5,1,1,32,3
22,10,5,41,37,3,25,27,34,46,1,1,9,8,2,26,27,26.5,26.5,2,3,2.5,2.5,1,1,32,3
23,7,5,41,43,3,25,24,56,46,0,0,9,9,2,23,24,23.5,23.5,2,3,2.5,2.5,1,1,32,1
24,9,5,39,43,3,24,24,56,44,0,0,9,9,2,23,24,23.5,23.5,3,3,3.0,3.0,0,2,36,2
25,9,5,37,43,4,23,24,45,42,1,1,10,9,2,23,24,23.5,23.5,3,4,3.5,3.5,1,2,36,3
26,5,5,35,47,4,23,20,74,40,0,0,10,10,2,20,23,21.5,21.5,3,4,3.5,3.5,1,2,36,1
27,7,5,33,50,4,23,20,74,38,0,0,10,10,2,20,20,20.0,20.0,3,4,3.5,3.5,1,2,36,1
