3154078b-0d2e-4086-908a-79cc24496219,96,90,,,,,3325,,,,,,,,,2 graczy,3 graczy,4 graczy,5 graczy,all
e239b919-aa6c-433f-9f35-b796d7e716a1,102,122,,,,,,,,,,,,85,,1,3,"4,25",3,43
2af7bfac-a64d-4872-930b-3ea586259e23,118,114,,,,,,,,,,,,86,,2,"2,66666666666667","3,75","5,4",54
264aaf90-9891-4a95-a1e1-5415b37f5ceb,104,106,,,,,,,,,,,,87,,4,"6,66666666666667",4,"3,6",62
1aa5a9d4-0b07-436b-8b71-af326afd4348,108,102,,,,,,,,,,,,88,,3,3,"5,5","3,2",53
896e9bfe-598d-4a81-9179-c9e84c65136d,93,72,,,,,,,,,,,,89,,"2,5","3,33333333333333","4,25","3,8",51
d198727d-ed03-4d10-acb0-3df768ccd2fb,95,115,,,,,,,,,,,,90,,4,"3,66666666666667","4,75","3,6",56
fcf8d045-15e8-4a44-8bd0-ab49d218a2e7,96,105,,,,,,,,,,,,91,,3,6,"3,75",5,64
2a022fc5-2058-49c8-b012-726ca5775ef4,102,98,,,,,,,,,,,,92,,4,5,"4,5","4,2",63
85587cca-23a8-421a-9c85-af0a65bf72df,129,118,,,,,,,,,,,,93,,4,"3,66666666666667",6,"3,8",62
861340ac-0f65-4caa-bfda-8a27b4457e4d,135,110,,,,,,,,,,,,94,,6,6,"3,5","4,4",66
0925337d-8c6c-487d-9cea-c3321e660dbe,116,112,,,,,,,,,,,,95,,"5,5","6,33333333333333",4,7,81
9dc0aeec-d2e7-4783-9390-a688e4a53133,101,102,,,,,,,,,,,,96,,"5,5","6,66666666666667",5,"4,8",75
55c276d5-42ae-4e78-981a-fec2d7191d57,88,119,,,,,,,,,,,,97,,"5,5",6,"4,75","6,2",79
078e4d4c-95a3-47ef-981a-f5c718fa9e44,88,80,,,,,,,,,,,,98,,5,"5,33333333333333","4,75","5,2",71
b87b6b82-7b55-42d1-b01e-bded8b3c40ae,129,109,,,,,,,,,,,,99,,"4,5","4,66666666666667",7,"6,4",84
915cb761-3e2a-4fbf-b5d1-e7e04d4e87ab,121,113,,,,,,,,,,,,100,,7,5,4,"7,2",81
72bdb204-4bc0-4605-9173-b0ca59789aea,92,89,,,,,,,,,,,,101,,"5,5","4,66666666666667","7,5","4,6",79
05499e45-b7b4-4507-a4ef-a73043d81464,112,106,,,,,,,,,,,,102,,7,"5,66666666666667","6,75",6,88
78d85fc4-cbb3-4bc6-9060-be9f38e3cca1,145,113,,,,,,,,,,,,103,,"4,5","6,66666666666667",5,"3,8",68
8b137a86-223e-433c-a1b9-3145c96dde91,133,97,,,,,,,,,,,,104,,7,"4,66666666666667","8,75","6,6",96
03f19e8b-aaa8-4ec2-84b6-22aae43cd815,123,91,,,,,,,,,,,,105,,"6,5","5,66666666666667","8,75","5,6",93
993f8140-3864-4ca4-a1cf-343eab12f6a8,122,121,,,,,,,,,,,,106,,6,"6,66666666666667","5,75","6,4",87
540b941b-b645-4b78-b8df-9b0e256d8d56,101,107,,,,,,,,,,,,107,,"9,5",9,6,"3,2",86
edcb08c8-c198-480f-86b0-f8a151529c51,87,105,,,,,,,,,,,,108,,"6,5","4,33333333333333","7,5","4,2",77
a6a5994c-9271-42f8-ba18-5070fa871909,97,107,,,,,,,,,,,,109,,"7,5","6,66666666666667","5,5","3,6",76
d667dd55-8ba6-417c-8385-2126fb309195,135,119,,,,,,,,,,,,110,,"8,5","4,66666666666667","5,5","3,4",70
a79c885c-a799-4c62-8a44-9bb214e1875c,115,112,,,,,,,,,,,,111,,"6,5",5,"3,75","2,6",56
48fd51fb-2e1f-4fb0-8896-34e632089596,133,106,,,,,,,,,,,,112,,10,"5,66666666666667","3,75","3,2",68
4b4f4233-3806-4da7-98d2-a6de881f58db,110,125,,,,,,,,,,,,113,,"8,5","3,66666666666667","3,75","3,4",60
825d1e09-5ea7-4f07-8efb-27c7b0c27df6,112,105,,,,,,,,,,,,114,,7,"2,33333333333333",3,"3,4",50
94fff753-354d-4b9c-932b-1fd7c480128c,102,88,,,,,,,,,,,,115,,"4,5","2,33333333333333","5,75","4,6",63
2128357e-34b3-4efe-b1da-8f93c57c0f2a,125,118,,,,,,,,,,,,116,,3,"6,33333333333333","2,75",4,56
fail 2 in turn: 45,,,,,,,,,,,,,,117,,"4,5",3,"2,5",3,44
fail 2 in turn: 46,,,,,,,,,,,,,,118,,5,3,"2,5","2,2",41
9afa02c2-7227-4098-8895-454de6dffceb,106,80,,,,,,,,,,,,119,,"4,5","3,33333333333333","4,5","3,8",56
505ba664-4ba0-4897-9b0b-c163ad80874d,95,114,,,,,,,,,,,,120,,3,"2,66666666666667","3,25","0,8",31
f5be2070-fa2f-4e59-ae63-fc8fd464488b,88,117,,,,,,,,,,,,121,,2,2,"2,75","1,8",30
fail 2 in turn: 45,,,,,,,,,,,,,,122,,4,3,"1,75","1,4",31
