8647e204-a3f0-42f0-a1c9-a6c18c8c859b;134;80;116;
2abf43cc-366f-4d67-9635-3bd9d33ed4d9;107;106;129;
cf105727-56b0-4420-9707-ad342418f746;101;103;110;
9ca7b95b-3a14-495a-9330-affa6657f35b;91;95;81;
839bb361-a56d-42d9-8b47-15a07fb4eef5;84;61;83;
e010091e-fd75-4880-9c20-52dff526862e;97;53;112;
156f524b-7205-4a3a-8de0-950ba0cdb268;106;75;127;
4d54fb5a-1956-409d-85c9-68a7108d634d;99;101;81;
70e08ff9-c1e6-4f55-aac1-27d559db14a8;74;64;59;82;
fail 4 in turn: 48
fail 4 in turn: 43
92b64cba-b226-4e6c-895a-2db55679a68b;85;104;95;127;
e36e4ba3-6f69-4449-8b16-f41a90ae399f;95;97;142;104;
19e8a2a8-79e5-4f57-8a21-c0bf4d24a886;92;111;99;96;
68a54088-7edf-48a1-b435-ef7d140cba15;79;111;81;114;
c72c3daf-2d05-4b00-8191-01c4706de23f;111;90;101;127;
98047253-b32f-4a13-bb8d-8313234e84cf;103;82;83;113;
830ade3b-5e08-4dbb-a210-f64705a7da82;93;91;96;110;
9b0358f4-a034-4036-a4f7-fffa1bd0fc1a;87;99;104;137;
305e9dfc-5252-492f-b5dc-7c4763850013;120;92;99;106;
44002979-503b-47c6-8dea-829d7a09d2a2;73;76;88;102;
91d2b94c-b4da-4450-8ba8-fe4b3a6bd640;79;93;100;96;
d054cf57-01b4-424c-8ab9-7b5964eda7bd;71;92;78;96;
204e169d-68ee-4594-ba63-9b07c7a1921e;97;102;112;123;
cf6ffa65-6181-481f-819f-811781f3099c;101;95;113;107;
3c7deaa1-5fcc-44e8-a082-031b68ec8ac9;128;97;100;83;
4b465386-9f70-4c0b-a657-92c56fec6846;94;81;110;93;
ddf6e0ca-1022-4c11-a047-3fd7f0bd0568;95;105;88;93;
ba9b6d70-31ea-4161-8577-c589557abfe2;87;97;112;122;
636fab03-2af4-4835-b600-0d21423b98ac;94;101;100;110;
ebc2c19e-e546-4e54-9ff4-28c7e355c712;90;66;67;92;
1fc0f795-a263-4b99-bff3-ae8d889f08d5;102;101;105;98;
51a45586-b667-4af9-b766-f695d137bbb5;86;106;91;115;
9542aa14-a026-4b7b-b352-101e328f8d4a;71;66;85;64;
6d6bba95-d6d3-4703-80e6-e3f1257f39b2;89;60;60;105;
ede3f0c0-e6fd-417c-adab-d59dae29b611;91;109;79;106;
f550528c-3f00-493c-b555-1fa779fa8d5e;82;106;95;70;
70afc586-243f-47c8-aacf-ae0a429915e5;75;79;96;77;
21f52333-a193-4a90-ac5b-abfaa095d79e;88;109;78;64;
c805a9e3-e082-4aa5-bfdf-f4452d350f2f;108;103;97;99;
