0;0;2;1;1;
1;0;0;0;0;
1;0;0;0;1;
0;0;1;0;0;
1;0;1;1;1;
0;0;0;0;0;
fail 5 in turn: 46
1;0;0;1;0;
1;0;0;1;1;
1;0;1;0;1;
1;0;0;0;0;
0;1;0;0;1;
0;1;0;0;0;
1;0;1;1;1;
fail 5 in turn: 42
0;1;0;0;1;
0;0;1;0;0;
1;0;0;0;1;
1;1;1;0;1;
0;0;1;0;1;
0;0;1;0;1;
0;0;1;1;0;
0;1;1;0;0;
1;1;0;0;0;
1;0;2;1;0;
fail 5 in turn: 45
0;0;0;1;0;
0;0;0;1;0;
1;0;1;0;1;
fail 5 in turn: 35
1;1;0;2;1;
1;0;0;0;1;
0;0;1;1;1;
1;1;1;0;1;
1;0;1;0;2;
1;0;0;0;0;
0;0;0;0;0;
1;0;1;1;0;
0;0;1;1;1;
1;1;1;1;0;
0;1;0;0;0;
1;2;0;1;0;
1;0;1;0;0;
2;0;0;0;1;
1;0;0;0;0;
0;0;0;1;0;
1;1;0;0;0;
1;1;0;1;1;
0;1;0;1;0;
0;1;1;1;1;
1;1;1;0;1;
0;0;0;0;0;
0;0;1;0;1;
1;0;1;1;0;
2;1;0;0;0;
1;1;2;0;2;
0;0;0;1;0;
0;1;0;0;0;
2;0;0;1;0;
1;0;1;0;1;
